frequency_rank;charcter;pinyin
764;副;fù
765;乱;luàn
766;抗;kàng
767;犯;fàn
768;追;zhuī
769;帮;bāng
770;宣;xuān
771;佛;fú
772;岁;suì
773;航;háng
774;优;yōu
775;怪;guài
776;香;xiāng
777;著;zhe
778;田;tián
779;铁;tiě
780;控;kòng
781;税;shuì
782;左;zuǒ
783;右;yòu
784;份;fèn
785;穿;chuān
786;艺;yì
787;背;bèi
788;阵;zhèn
789;草;cǎo
790;脚;jiǎo
791;概;gài
792;恶;è
793;块;kuài
794;顿;dùn
795;敢;gǎn
796;守;shǒu
797;酒;jiǔ
798;岛;dǎo
799;托;tuō
800;央;yāng
801;户;hù
802;烈;liè
803;洋;yáng
804;哥;gē
805;索;suǒ
806;胡;hú
807;款;kuǎn
808;靠;kào
809;评;píng
810;版;bǎn
811;宝;bǎo
812;座;zuò
813;释;shì
814;景;jǐng
815;顾;gù
816;弟;dì
817;登;dēng
818;货;huò
819;互;hù
820;付;fù
821;伯;bó
822;慢;màn
823;欧;ōu
824;换;huàn
825;闻;wén
826;危;wēi
827;忙;máng
828;核;hé
829;暗;àn
830;姐;jiě
831;介;jiè
832;坏;huài
833;讨;tǎo
834;丽;lì
835;良;liáng
836;序;xù
837;升;shēng
838;监;jiān
839;临;lín
840;亮;liàng
841;露;lù
842;永;yǒng
843;呼;hū
844;味;wèi
845;野;yě
846;架;jià
847;域;yù
848;沙;shā
849;掉;diào
850;括;kuò
851;舰;jiàn
852;鱼;yú
853;杂;zá
854;误;wù
855;湾;wān
856;吉;jí
857;减;jiǎn
858;编;biān
859;楚;chǔ
860;肯;kěn
861;测;cè
862;败;bài
863;屋;wū
864;跑;pǎo
865;梦;mèng
866;散;sàn
867;温;wēn
868;困;kùn
869;剑;jiàn
870;渐;jiàn
871;封;fēng
872;救;jiù
873;贵;guì
874;枪;qiāng
875;缺;quē
876;楼;lóu
877;县;xiàn
878;尚;shàng
879;毫;háo
880;移;yí
881;娘;niáng
882;朋;péng
883;画;huà
884;班;bān
885;智;zhì
886;亦;yì
887;耳;ěr
888;恩;ēn
889;短;duǎn
890;掌;zhǎng
891;恐;kǒng
892;遗;yí
893;固;gù
894;席;xí
895;松;sōng
896;秘;mì
897;谢;xiè
898;鲁;lǔ
899;遇;yù
900;康;kāng
901;虑;lǜ
902;幸;xìng
903;均;jūn
904;销;xiāo
905;钟;zhōng
906;诗;shī
907;藏;cáng
908;赶;gǎn
909;剧;jù
910;票;piào
911;损;sǔn
912;忽;hū
913;巨;jù
914;炮;pào
915;旧;jiù
916;端;duān
917;探;tàn
918;湖;hú
919;录;lù
920;叶;yè
921;春;chūn
922;乡;xiāng
923;附;fù
924;吸;xī
925;予;yǔ
926;礼;lǐ
927;港;gǎng
928;雨;yǔ
929;呀;ya
930;板;bǎn
931;庭;tíng
932;妇;fù
933;归;guī
934;睛;jīng
935;饭;fàn
936;额;é
937;含;hán
938;顺;shùn
939;输;shū
940;摇;yáo
941;招;zhāo
942;婚;hūn
943;脱;tuō
944;补;bǔ
945;谓;wèi
946;督;dū
947;毒;dú
948;油;yóu
949;疗;liáo
950;旅;lǚ
951;泽;zé
952;材;cái
953;灭;miè
954;逐;zhú
955;莫;mò
956;笔;bǐ
957;亡;wáng
958;鲜;xiān
959;词;cí
960;圣;shèng
961;择;zé
962;寻;xún
963;厂;chǎng
964;睡;shuì
965;博;bó
966;勒;lēi
967;烟;yān
968;授;shòu
969;诺;nuò
970;伦;lún
971;岸;àn
972;奥;ào
973;唐;táng
974;卖;mài
975;俄;é
976;炸;zhà
977;载;zài
978;洛;luò
979;健;jiàn
980;堂;táng
981;旁;páng
982;宫;gōng
983;喝;hē
984;借;jiè
985;君;jūn
986;禁;jìn
987;阴;yīn
988;园;yuán
989;谋;móu
990;宋;sòng
991;避;bì
992;抓;zhuā
993;荣;róng
994;姑;gū
995;孙;sūn
996;逃;táo
997;牙;yá
998;束;shù
999;跳;tiào
1000;顶;dǐng
1001;玉;yù
1002;镇;zhèn
1003;雪;xuě
1004;午;wǔ
1005;练;liàn
1006;迫;pò
1007;爷;yé
1008;篇;piān
1009;肉;ròu
1010;嘴;zuǐ
1011;馆;guǎn
1012;遍;biàn
1013;凡;fán
1014;础;chǔ
1015;洞;dòng
1016;卷;juǎn
1017;坦;tǎn
1018;牛;niú
1019;宁;níng
1020;纸;zhǐ
1021;诸;zhū
1022;训;xùn
1023;私;sī
1024;庄;zhuāng
1025;祖;zǔ
1026;丝;sī
1027;翻;fān
1028;暴;bào
1029;森;sēn
1030;塔;tǎ
1031;默;mò
1032;握;wò
1033;戏;xì
1034;隐;yǐn
1035;熟;shú
1036;骨;gǔ
1037;访;fǎng
1038;弱;ruò
1039;蒙;méng
1040;歌;gē
1041;店;diàn
1042;鬼;guǐ
1043;软;ruǎn
1044;典;diǎn
1045;欲;yù
1046;萨;sà
1047;伙;huǒ
1048;遭;zāo
1049;盘;pán
1050;爸;bà
1051;扩;kuò
1052;盖;gài
1053;弄;nòng
1054;雄;xióng
1055;稳;wěn
1056;忘;wàng
1057;亿;yì
1058;刺;cì
1059;拥;yōng
1060;徒;tú
1061;姆;mǔ
1062;杨;yáng
1063;齐;qí
1064;赛;sài
1065;趣;qù
1066;曲;qū
1067;刀;dāo
1068;床;chuáng
1069;迎;yíng
1070;冰;bīng
1071;虚;xū
1072;玩;wán
1073;析;xī
1074;窗;chuāng
1075;醒;xǐng
1076;妻;qī
1077;透;tòu
1078;购;gòu
1079;替;tì
1080;塞;sāi
1081;努;nǔ
1082;休;xiū
1083;虎;hǔ
1084;扬;yáng
1085;途;tú
1086;侵;qīn
1087;刑;xíng
1088;绿;lǜ
1089;兄;xiōng
1090;迅;xùn
1091;套;tào
1092;贸;mào
1093;毕;bì
1094;唯;wéi
1095;谷;gǔ
1096;轮;lún
1097;库;kù
1098;迹;jī
1099;尤;yóu
1100;竞;jìng
1101;街;jiē
1102;促;cù
1103;延;yán
1104;震;zhèn
1105;弃;qì
1106;甲;jiǎ
1107;伟;wěi
1108;麻;má
1109;川;chuān
1110;申;shēn
1111;缓;huǎn
1112;潜;qián
1113;闪;shǎn
1114;售;shòu
1115;灯;dēng
1116;针;zhēn
1117;哲;zhé
1118;络;luò
1119;抵;dǐ
1120;朱;zhū
1121;埃;āi
1122;抱;bào
1123;鼓;gǔ
1124;植;zhí
1125;纯;chún
1126;夏;xià
1127;忍;rěn
1128;页;yè
1129;杰;jié
1130;筑;zhù
1131;折;zhé
1132;郑;zhèng
1133;贝;bèi
1134;尊;zūn
1135;吴;wú
